240,1,Counter-Strike:Source,0,147,2004-11-01,False,8.19,9.0,86799.0,3437.0,94.70229027462902,10000000-20000000,7373,349,Shooter;Action;FPS;Multiplayer;Team-Based;First-Person;Tactical;Competitive;PvP;e-sports;Military;War;Strategy;Moddable;Singleplayer;Difficult;Atmospheric;Survival;Simulation;Sandbox,,Multi-player;Cross-PlatformMultiplayer;SteamAchievements;SteamCloud;ValveAnti-Cheatenabled;Stats;IncludesSourceSDK,Action,windows;mac;linux,37,English;French;German;Italian;Japanese;Korean;Russian;SimplifiedChinese;Spanish-Spain;Thai;TraditionalChinese;Turkish,1,1
280,1,Half-Life:Source,0,0,2004-06-01,False,8.19,6.0,6626.0,2579.0,70.57405879881684,2000000-5000000,2135,187,FPS;Action;Classic;Sci-fi;Singleplayer;Shooter;First-Person;Aliens;1990s;Zombies;StoryRich;Adventure;Remake;Atmospheric;SilentProtagonist;Multiplayer;Horror;GreatSoundtrack;Moddable;Gore,,Single-player;RemotePlayTogether,Action,windows;mac;linux,38,English;French;German;Italian;Japanese;Korean;Russian;SimplifiedChinese;Spanish-Spain;Thai;TraditionalChinese,1,1
300,1,DayofDefeat:Source,0,54,2010-07-12,False,8.19,8.0,10247.0,1140.0,87.58519673969174,5000000-10000000,2446,144,FPS;WorldWarII;Multiplayer;Action;Shooter;Military;Team-Based;War;First-Person;Historical;Class-Based;Classic;Tactical;Realistic;OnlineCo-Op;Strategy;Gore;MassivelyMultiplayer;Simulation;Comedy,,Multi-player;Cross-PlatformMultiplayer;SteamAchievements;SteamTradingCards;ValveAnti-Cheatenabled;Stats;IncludesSourceSDK,Action,windows;mac;linux,25,English,1,1
320,1,Half-Life2:Deathmatch,0,0,2004-11-01,False,3.99,8.0,6133.0,739.0,86.50020947790044,10000000-20000000,1780,63,Action;FPS;Multiplayer;Shooter;First-Person;Sci-fi;Physics;Competitive;Funny;Co-op;OldSchool;PvP;ArenaShooter;Moddable;Atmospheric;Adventure;GreatSoundtrack;Singleplayer;OnlineCo-Op;Mod,,Multi-player;ValveAnti-Cheatenabled;IncludesSourceSDK,Action,windows;mac;linux,39;404138;79,English,1,1
360,1,Half-LifeDeathmatch:Source,0,0,2005-10-27,False,8.19,6.0,1972.0,674.0,72.24039349787765,5000000-10000000,241,11,Action;FPS;Multiplayer;Shooter;Sci-fi;First-Person;Classic;Remake;Adventure;Competitive;Horror;Fast-Paced;Atmospheric;Singleplayer,,Multi-player;ValveAnti-Cheatenabled,Action,windows;mac;linux,38,English,1,1
380,1,Half-Life2:EpisodeOne,0,13,2006-05-01,False,6.59,9.0,15571.0,697.0,93.24767127261701,2000000-5000000,367,213,FPS;Action;Sci-fi;Singleplayer;First-Person;StoryRich;Shooter;Classic;Dystopian;Adventure;Aliens;Zombies;Episodic;Atmospheric;SilentProtagonist;GreatSoundtrack;Short;Puzzle;Cinematic;Moddable,Thai;English;French;German;Italian;Korean;Russian;SimplifiedChinese;Spanish-Spain;TraditionalChinese,Single-player;SteamAchievements;Captionsavailable;PartialControllerSupport;SteamCloud;Stats;IncludesSourceSDK;Commentaryavailable;RemotePlayTogether,Action,windows;mac;linux,79;469,Danish;Dutch;English;Finnish;French;German;Italian;Japanese;Korean;Norwegian;Polish;Portuguese;Russian;SimplifiedChinese;Spanish-Spain;Swedish;Thai;TraditionalChinese,1,1
400,1,Portal,0,15,2006-06-01,False,8.19,9.0,87190.0,1376.0,96.87605190571766,10000000-20000000,568,183,Puzzle;Puzzle-Platformer;First-Person;3DPlatformer;Singleplayer;Sci-fi;Comedy;FemaleProtagonist;Funny;Action;Physics;StoryRich;Classic;Platformer;Science;Atmospheric;FPS;Short;Adventure;DarkHumor,Spanish-Spain;TraditionalChinese;English;French;German;Russian,Single-player;SteamAchievements;Captionsavailable;PartialControllerSupport;Includesleveleditor;IncludesSourceSDK;Commentaryavailable;RemotePlayonPhone;RemotePlayonTablet;RemotePlayTogether,Action,windows;mac;linux,515;204527;469,Danish;Dutch;English;Finnish;French;German;Italian;Japanese;Korean;Norwegian;Polish;Portuguese;Russian;SimplifiedChinese;Spanish-Spain;Swedish;TraditionalChinese,1,1
420,1,Half-Life2:EpisodeTwo,0,23,2007-10-10,False,6.59,9.0,22052.0,662.0,94.78667054678124,5000000-10000000,768,299,FPS;Action;Sci-fi;Singleplayer;Shooter;StoryRich;First-Person;Classic;Adventure;Aliens;Atmospheric;Zombies;SilentProtagonist;GreatSoundtrack;Dystopian;Post-apocalyptic;Episodic;Puzzle;Horror;Multiplayer,Spanish-Spain;English;French;German;Russian,Single-player;SteamAchievements;Captionsavailable;PartialControllerSupport;SteamCloud;Stats;IncludesSourceSDK;Commentaryavailable;RemotePlayTogether,Action,windows;mac;linux,516;469,Danish;Dutch;English;Finnish;French;German;Italian;Japanese;Korean;Norwegian;Polish;Portuguese;Russian;SimplifiedChinese;Spanish-Spain;Swedish;TraditionalChinese,1,1
440,1,TeamFortress2,0,520,2007-10-10,False,0.0,8.0,12260.0,1102.0,89.36126656597116,50000000-100000000,10686,340,FreetoPlay;HeroShooter;Multiplayer;FPS;Shooter;Action;Class-Based;Team-Based;Funny;First-Person;OnlineCo-Op;Competitive;Cartoony;Trading;Co-op;Comedy;Robots;Tactical;Cartoon;Crafting,English,Multi-player;Cross-PlatformMultiplayer;SteamAchievements;SteamTradingCards;Captionsavailable;SteamWorkshop;In-AppPurchases;PartialControllerSupport;ValveAnti-Cheatenabled;Stats;Includesleveleditor;Commentaryavailable;RemotePlayonPhone;RemotePlayonTablet,Action;FreetoPlay,windows;mac;linux,197845;330198;469,Bulgarian;Czech;Danish;Dutch;English;Finnish;French;German;Greek;Hungarian;Italian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese-Brazil;Romanian;Russian;SimplifiedChinese;Spanish-Spain;Swedish;Thai;TraditionalChinese;Turkish;Ukrainian,1,1
500,1,Left4Dead,0,73,2007-10-10,False,8.19,9.0,31688.0,1317.0,94.00237204512273,2000000-5000000,3089,145,Zombies;Co-op;Multiplayer;FPS;Action;Horror;Shooter;OnlineCo-Op;Team-Based;Survival;First-Person;Post-apocalyptic;Singleplayer;Atmospheric;Adventure;Moddable;Tactical;ReplayValue;Competitive;FemaleProtagonist,English;French;German;Russian;Spanish-Spain,Single-player;Multi-player;Co-op;SteamAchievements;Fullcontrollersupport;Captionsavailable;SteamCloud;ValveAnti-Cheatenabled;Stats;SteamLeaderboards;IncludesSourceSDK;Commentaryavailable;RemotePlayonTV;RemotePlayTogether,Action,windows;mac,1053;204526,Danish;Dutch;English;Finnish;French;German;Italian;Japanese;Korean;Norwegian;Polish;Portuguese;Russian;SimplifiedChinese;Spanish-Spain;Swedish;TraditionalChinese,1,1
